t (s),V (mV)
0,20.3079
0.999,20.1133
1.999,19.9876
2.999,20.0754
3.999,20.2015
4.999,20.1601
5.999,20.2421
6.999,20.0646
7.999,20.0391
8.999,19.8227
9.999,19.7522
10.999,19.5544
11.999,19.3806
12.999,19.4039
13.999,19.3717
14.999,19.3282
15.999,19.2684
16.999,19.3141
17.999,19.2705
18.999,19.2201
19.999,19.1304
20.999,19.0638
21.999,19.0347
22.999,19.0146
23.999,18.9498
24.999,18.8474
25.999,18.7874
26.999,18.7434
27.999,18.7087
28.999,18.6
29.999,18.6176
30.999,18.5361
31.999,18.3282
32.999,18.3809
33.999,18.3008
34.999,18.2417
35.999,18.2334
36.999,18.074
37.999,17.9957
38.999,17.945
39.999,17.9777
40.999,18.0137
41.999,17.8811
42.999,17.7607
43.999,17.7308
44.999,17.6145
45.999,17.6266
46.999,17.5865
47.999,17.4143
48.999,17.5181
49.999,17.3355
50.999,17.5163
51.999,17.5169
52.999,17.3912
53.999,17.4136
54.999,17.3173
55.999,17.269
56.999,17.2097
57.999,17.1867
58.999,17.0171
59.999,16.9114
60.999,16.9147
61.999,16.7627
62.999,16.6879
63.999,16.8526
64.999,16.9234
65.999,16.6768
66.999,16.8078
67.999,16.5462
68.999,16.4836
69.999,16.3445
70.999,16.345
71.999,16.6044
72.999,16.3028
73.999,16.0614
74.999,16.0182
75.999,16.3092
76.999,16.3019
77.999,16.2465
78.999,16.1744
79.999,16.3113
80.999,16.2637
81.999,16.2608
82.999,16.1488
83.999,16.0364
84.999,15.8325
85.999,15.672
86.999,15.6379
87.999,15.6071
88.999,15.5195
89.999,15.5548
90.999,15.6997
91.999,15.7593
92.999,15.7339
93.999,15.6094
94.999,15.5392
95.999,15.5375
96.999,15.5206
97.999,15.449
98.999,15.4278
99.999,15.3973
100.999,15.3827
101.999,15.1797
102.999,15.0754
103.999,15.1675
104.999,15.0788
105.999,15.1677
106.999,15.1075
107.999,14.7818
108.999,15.0316
109.999,14.893
110.999,14.8079
111.999,14.8403
112.999,14.75
113.999,14.6131
114.999,14.7315
115.999,14.7418
116.999,14.7564
117.999,14.8513
118.999,14.6743
119.999,14.468
120.999,14.3767
121.999,14.1871
122.999,14.158
123.999,14.1354
124.999,14.2027
125.999,14.1541
126.999,14.1677
127.999,14.1274
128.999,14.0085
130.002,13.9661
131,13.9795
131.999,13.884
132.999,13.7234
133.999,13.7196
134.999,13.612
135.999,13.5105
136.999,13.5127
137.999,13.4602
138.999,13.6798
139.999,13.371
140.999,13.3159
141.999,13.236
142.999,13.269
143.999,13.2805
144.999,13.2466
145.999,13.1785
146.999,13.1577
147.999,13.383
148.999,13.1669
149.999,13.1206
150.999,13.1648
151.999,13.1831
152.999,12.9863
153.999,13.0348
154.999,12.8958
155.999,12.8094
156.999,12.7666
157.999,12.6721
158.999,12.7969
159.999,12.4935
160.999,12.3324
161.999,12.2927
162.999,12.327
163.999,12.2663
164.999,12.3205
165.999,12.2578
166.999,12.5016
167.999,12.2345
168.999,12.1432
169.999,12.1123
170.999,12.0433
171.999,11.977
172.999,12.2018
173.999,12.0516
174.999,11.9562
175.999,11.8197
176.999,11.7441
177.999,11.6115
178.999,11.6291
179.999,11.7599
180.999,11.9099
181.999,11.985
182.999,11.9887
183.999,11.7276
184.999,11.6134
185.999,11.6416
186.999,11.8286
187.999,11.6884
188.999,11.794
189.999,11.5679
190.999,11.5374
191.999,11.39
192.999,11.2788
193.999,11.4677
194.999,11.5169
195.999,11.3256
196.999,11.292
197.999,11.246
198.999,11.4035
199.999,11.5206
200.999,11.289
201.999,11.0986
202.999,10.9243
203.999,10.9351
204.999,10.9685
205.999,10.953
206.999,10.8398
207.999,11.0163
208.999,11.0506
209.999,10.935
210.999,10.9436
211.999,10.999
212.999,11.0536
213.999,10.6765
214.998,10.5969
215.999,10.5945
216.998,10.471
217.998,10.395
218.998,10.3199
219.998,10.3876
220.999,10.4098
221.998,10.376
222.999,10.3191
223.998,10.3524
224.999,10.5974
225.998,10.2221
226.999,10.1495
227.998,10.1139
228.998,10.0482
229.998,10.1225
230.998,10.3606
231.998,10.1762
232.998,10.2427
233.998,10.3655
234.998,10.2792
235.998,10.0799
236.999,9.9907
237.999,9.8577
238.999,9.7837
239.999,9.5898
240.999,9.5895
241.999,9.6703
242.999,9.7559
243.999,9.6841
244.999,9.5265
245.999,9.4998
246.999,9.6075
247.999,9.5671
248.999,9.5376
249.999,9.4696
250.999,9.5757
251.999,9.5812
252.999,9.6485
253.999,9.7846
254.999,9.4423
255.999,9.2714
